Reference1,Sample_Zircon_Spot,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
Lu et al. 2016,2013_534_43,762.4,0.99,31.78,0.259,1.32,1.58,1.07,13.43,4.22,55.6,21.94,119.1,27.9,292.1,72.4
Lu et al. 2016,2013_534_35,910,0.91,38.6,0.27,1.85,2.27,1.14,13.95,4.78,65.4,26.98,143.5,33.98,353.1,84
Lu et al. 2016,2013_534_39,776,0.484,25.9,0.187,1.27,2.18,1.04,14.3,4.43,53.3,21.12,118.4,28.34,308.2,79.4
Lu et al. 2016,2013_534_32,691,0.21,27,0.106,0.92,1.53,0.9,10.4,3.67,47.8,20.9,112.9,26.1,268.1,66
Lu et al. 2016,2013_534_37,1720,0.2,77.4,0.325,4.44,8.3,3.11,35.1,10.31,121.3,44.9,227,51.7,502,121
Lu et al. 2016,2013_534_24,1131,0.168,48.6,0.172,2.22,3.62,1.48,20,6.79,83.2,33.95,176.2,39.1,385.7,91.4
Lu et al. 2016,2013_534_36,839,0.149,25.4,0.128,1.88,2.79,1.54,17.8,5.64,67.9,26.4,129.9,28.6,287,68.4
Lu et al. 2016,2013_534_38,692,0.12,22.4,0.066,0.67,1.39,0.8,9.4,3.25,46.5,19.6,112.7,26.9,289,74
Lu et al. 2016,2013_534_44,523.1,0.109,19.3,0.052,0.47,1.19,0.63,7.82,2.8,37.1,16.03,84.4,19.22,195.4,47.4
Lu et al. 2016,2013_534_18,990,0.087,33.15,0.114,1.54,2.75,1.42,17.1,5.29,68.7,27.14,142.6,32.88,333.3,80.9
Lu et al. 2016,2013_534_15,355,0.048,16.84,0.025,0.29,0.47,0.46,4.95,1.7,21.5,9.76,56.7,13.63,153.8,41.7
Lu et al. 2016,2013_534_22,552.6,0.0401,19.89,0.039,0.55,1.08,0.67,8.44,2.88,37.4,15.8,89.8,21.54,225.4,58.4
Lu et al. 2016,2013_534_31,735,0.033,20.93,0.075,1.45,2.24,1.1,13.1,4.35,54.1,21.35,115,26.66,284.9,70.2
Lu et al. 2016,2013_534_2,1060,0.029,32.8,0.075,1.3,2.55,1.35,17.4,5.12,65.1,27.1,145.4,33,360,88.8
Lu et al. 2016,2013_534_13,387,0.0258,23.33,0.0271,0.46,1.09,0.496,6.45,1.96,25.2,10.39,59.7,14.41,160.3,40.71
Lu et al. 2016,2013_534_42,743,0.0231,28.2,0.032,0.59,1.67,0.85,11.4,4,53.3,22.13,118.6,28.2,290.9,73.3
Lu et al. 2016,2013_534_21,990,0.022,31,0.038,0.64,2.02,0.77,11.02,4.02,56.3,25.4,143.4,34.1,364,93.2
Lu et al. 2016,2013_534_34,810,0.0163,24.3,0.09,1.52,2.56,1.16,15.8,4.69,58,23.45,123.4,29.4,309.1,79.9
Lu et al. 2016,2013_534_46,504,0.0162,17.27,0.0195,0.57,1.13,0.56,7.23,2.6,34.4,15.07,81.2,19.85,204.7,52.4
Lu et al. 2016,2013_534_25,555,0.0146,17.3,0.0301,0.4,1.32,0.54,6.3,2.36,33.1,14.9,85.2,21.9,252,68.3
Lu et al. 2016,2013_534_30,497,0.0123,16.73,0.0219,0.34,0.94,0.61,6.9,2.5,32.7,14.5,80.5,20.13,209.5,53.4
Lu et al. 2016,2013_534_4,779,0.011,29,0.033,0.68,1.22,0.67,11.06,3.82,49.5,22.13,127.5,31.3,336,85.9
Lu et al. 2016,2013_534_12,2220,0.0074,83,0.111,2.23,4.44,2.59,33.1,10.8,135,52.4,264,57.9,579,134.4
Lu et al. 2016,2013_534_45,574,0.0073,19.59,0.0149,0.34,0.67,0.48,7.27,2.5,35.9,15.53,93,23.17,257.7,69.8
Lu et al. 2016,2013_534_14,721,0.0046,22.9,0.0264,0.52,1.15,0.72,8.86,3.37,44.6,19.96,111,27.8,308,79.5
Lu et al. 2016,2013_534_9,437,0.0045,14.21,0.0129,0.39,0.67,0.63,6.53,2.34,29.9,12.47,71.5,16.9,186,45.7
Lu et al. 2016,2013_534_48,652,0.0043,38.19,0.037,0.94,2.37,1.01,11.75,3.75,48.4,18.72,100.9,23.08,232.5,58.6
Lu et al. 2016,2013_534_50,602,0.0041,20.97,0.019,0.53,1.27,0.78,9,2.89,40.4,17.04,93.3,22.79,248.6,63.1
Lu et al. 2016,2013_534_29,990,0.0014,29.5,0.049,0.65,2.33,1.17,12.3,4.8,60,23.7,133,30.8,325,82.9
