Reference1,Sample_Zircon_Spot,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
 Ballard et al. 2002,195_1,1609,0.068,15,0.546,7.23,10.15,0.87,42.1,14.52,153.4,53.7,228.6,46,408,70.1
 Ballard et al. 2002,195_10,1735,0.074,15,0.532,6.95,10.38,0.95,47.4,15.94,164.7,57.2,247,50.1,445,76.5
 Ballard et al. 2002,195_2,1563,0.036,21,0.469,7.14,10.81,0.68,45.2,14.91,153.4,52.1,222.6,46.2,412,69.7
 Ballard et al. 2002,195_4,1545,0.062,20,0.574,7.82,11.32,0.82,46.1,15.04,153.9,51.9,222,45.8,412,69.1
 Ballard et al. 2002,195_5,988,0.003,15,0.089,2.07,4.21,0.35,23.8,8.52,92,32.7,142.6,30.9,286,49.5
 Ballard et al. 2002,195_6,1596,0.068,21,0.623,8.55,11.33,0.69,45.9,15.04,156.4,53.4,228.1,47.4,425,71.3
 Ballard et al. 2002,195_7,2068,0.012,49,0.149,3.18,6.6,0.25,35,14.59,173.9,66.1,314.2,72,684,116.9
 Ballard et al. 2002,195_8,1809,0.105,18,0.646,8.51,11.92,0.73,48,15.53,165.9,58.9,258.2,52,464,78.7
 Ballard et al. 2002,195_9,1444,0.034,19,0.424,6.2,9.91,0.72,42.2,13.9,142.7,48.4,208.7,43.3,389,65.4
 Ballard et al. 2002,174_1,1056,0.044,11,0.403,5.53,7.11,1.17,29.8,9.39,99.4,33.7,151.2,32.5,284,49.6
 Ballard et al. 2002,174_10,469,0.005,8,0.035,0.74,1.83,0.36,9.8,3.48,42.2,14.7,69.4,15.6,156,27.3
 Ballard et al. 2002,174_2,795,0.055,10,0.312,4.55,6.51,0.8,24.2,7.6,79.6,25.7,110.7,23.5,213,35.3
 Ballard et al. 2002,174_4,386,0.011,7,0.027,0.73,1.7,0.27,8,2.9,33.9,12.2,58.9,13.3,131,23.2
 Ballard et al. 2002,174_5,413,0.007,9,0.042,0.56,1.75,0.26,8,3.16,35.8,13.1,61.9,14.3,136,24.3
 Ballard et al. 2002,174_6,322,0.007,8,0.025,0.75,1.65,0.28,7.2,2.42,28.9,10.2,48.6,11.8,128,27.5
 Ballard et al. 2002,174_7,384,0.004,9,0.028,0.64,1.23,0.18,7.3,3.07,33.5,12.1,57.2,12.8,128,22.6
 Ballard et al. 2002,174_9,423,0.003,9,0.035,0.52,1.42,0.2,8.8,3.24,37,13.2,63.8,14.6,145,25.6
 Ballard et al. 2002,131_1,905,0.018,15,0.182,2.41,4.04,0.7,20.5,7.47,82.2,29.2,133.2,29.6,279,50.1
 Ballard et al. 2002,131_10,619,0.012,12,0.047,1.04,2.23,0.44,12.9,4.77,56.4,20,93,20.6,199,35.1
 Ballard et al. 2002,131_3,2067,0.072,18,0.443,6.61,9.92,1.66,48.3,17,194.7,68.5,310.5,64.7,589,103.1
 Ballard et al. 2002,131_6,853,0.005,12,0.12,2.2,4.7,0.84,21.7,7.6,80.2,27.4,124,27,247,43
 Ballard et al. 2002,131_7,580,0.005,9,0.085,1.52,3.05,0.51,14.4,4.86,54.6,18.4,85.7,19.2,186,33.1
 Ballard et al. 2002,131_8,1724,0.032,21,0.344,4.97,8.76,1.29,41.4,14.31,161.2,55.8,252.8,54.2,509,88
 Ballard et al. 2002,131_9,746,0.007,12,0.117,1.87,3.11,0.62,16.1,5.86,67.1,23.8,113.8,25.4,244,42.8
 Ballard et al. 2002,163_1,653,0.008,13,0.093,1.28,2.68,0.32,13.6,4.99,59.5,20.6,94.7,21.6,204,36.3
 Ballard et al. 2002,163_10,244,0.006,9,0.003,0.26,0.83,0.17,4.9,1.7,21.1,7.6,37.2,8.9,91,17.1
 Ballard et al. 2002,163_2,526,0.004,10,0.038,0.94,2.09,0.57,11.7,4.27,49.2,16.9,77.9,17.4,170,32.1
 Ballard et al. 2002,163_3,894,0.016,12,0.186,2.7,4.25,1.03,21.5,7.18,82.7,29.3,135.3,30.2,286,53.3
 Ballard et al. 2002,163_4,375,0.006,11,0.013,0.6,1.44,0.34,7.6,2.88,32.7,11.7,55.8,12.9,130,23.9
 Ballard et al. 2002,163_8,1617,0.048,17,0.411,5.5,8.52,1.92,36.7,12.58,145.6,53,243.3,52.6,492,91.2
 Ballard et al. 2002,521_02,1515,0.006,28,0.204,3.54,6.11,0.48,32.6,11.6,130.3,47.2,215.5,43.9,386,72.9
 Ballard et al. 2002,521_03,1226,0.011,21,0.172,2.68,5.34,0.48,27.1,9.53,107.2,38.9,175,35.6,308,57.3
 Ballard et al. 2002,521_04,2033,0.037,19,0.425,5.95,11.9,1.3,60.2,19.45,206.7,69.1,286.8,55.2,454,79.1
 Ballard et al. 2002,521_05,1794,0.009,25,0.156,2.76,5.44,0.51,30.6,11.48,139.4,55.3,269.7,57.7,525,102.8
 Ballard et al. 2002,521_06,1849,0.021,25,0.183,3.31,6.58,0.57,33.9,12.81,150.4,57.7,276.5,57.8,517,97.4
 Ballard et al. 2002,521_07,1498,0.024,15,0.211,3.49,6.43,0.54,35.7,12.37,137.3,49,212.6,42.4,374,68.9
 Ballard et al. 2002,521_08,1068,0.106,18,0.136,1.8,3.57,0.31,19.6,7.5,87.5,33.3,156,33,308,59.7
 Ballard et al. 2002,521_09,2249,0.047,20,0.485,6.88,10.76,0.83,54,18.89,208.6,72.4,314.1,61.5,525,93.7
 Ballard et al. 2002,521_10,2275,0.029,25,0.413,6.68,11.47,0.79,50.3,17.93,202,73.2,327.4,64.8,561,102.4
 Ballard et al. 2002,610_01,1436,0.044,19,0.104,1.59,3.29,2.01,23.4,9.21,112.4,43.9,210.8,45.4,449,92.7
 Ballard et al. 2002,610_02,557,0.062,36,0.05,0.76,1.54,0.75,9.8,3.44,39.9,15.2,78.6,19,212,49.2
 Ballard et al. 2002,610_04,611,0.014,33,0.046,0.52,1.23,0.54,8.1,3.12,39,16.3,88.4,22.5,258,62.5
 Ballard et al. 2002,610_05,676,0.496,35,0.098,0.94,1.62,0.68,10,3.66,44.6,18.3,97.7,24.6,278,66.3
 Ballard et al. 2002,610_06,813,0.135,50,0.101,1.22,2.67,0.99,15.8,5.55,64.8,23.9,114.8,26.9,274,59
 Ballard et al. 2002,610_07,968,0.029,42,0.06,1.06,2.53,0.98,14.7,5.42,64.9,26.7,137,33.8,371,86.4
 Ballard et al. 2002,610_08,859,0.018,40,0.017,0.61,1.7,0.69,11.2,4.45,56.8,23.6,123.6,31.4,353,83.7
 Ballard et al. 2002,610_09,735,0.06,21,0.024,0.55,1.41,0.72,9.2,3.7,46.9,19.9,106,26.9,307,72.5
 Ballard et al. 2002,610_10,1595,0.016,53,0.139,2.36,5.81,3.29,38.3,12.88,139.7,50.2,222.5,48.4,467,93.7
 Ballard et al. 2002,609_01,747,0.03,27,0.065,0.98,2.11,0.84,11.5,4.23,49.5,19.7,103.4,26.4,296,69.4
 Ballard et al. 2002,609_02,515,0.162,25,0.073,0.55,1.04,0.4,5.6,2.21,29.2,12.8,74.3,20.3,248,62.1
 Ballard et al. 2002,609_03,1635,0.017,73,0.085,1.96,5.03,1.88,32.9,11.33,127,47.2,229.4,51.9,530,112
 Ballard et al. 2002,609_05,1441,0.044,63,0.052,1.03,3.28,1.27,23.9,9.08,107.7,42.2,208.2,48.2,492,104.7
 Ballard et al. 2002,609_06,823,0.021,37,0.048,0.72,1.67,0.63,11.6,4.21,52.5,21.7,117.3,28.3,311,70.8
 Ballard et al. 2002,609_07,1522,0.019,85,0.08,1.61,3.29,0.86,22.2,8.39,99.8,40.5,211.1,52.2,550,127
 Ballard et al. 2002,609_08,607,0.076,33,0.063,0.53,1.49,0.57,9.6,3.48,41.2,16.7,87,21.6,233,54.3
 Ballard et al. 2002,609_09,827,0.027,18,0.041,0.78,2.39,0.54,13.7,5.07,62.2,25.5,124.1,29.6,293,65.3
 Ballard et al. 2002,609_10,208,0.156,13,0.115,0.17,0.68,0.2,3.2,1.15,13.9,5.9,32.2,8.4,93,23.2
 Ballard et al. 2002,603_01,1213,0.039,57,0.055,0.97,2.54,1.02,19.1,7.36,87.5,35.1,172.3,41.1,428,92.1
 Ballard et al. 2002,603_02,751,0.103,30,0.074,0.97,1.9,0.7,12.6,4.95,58.3,22.6,111.9,26.3,267,56.5
 Ballard et al. 2002,603_03,539,0.094,22,0.052,0.74,1.2,0.41,6.9,2.54,33,14.1,78,20.7,252,62.7
 Ballard et al. 2002,603_04,1041,0.077,40,0.239,3.04,4.76,1.3,24.5,7.53,79.4,28.6,136.6,31.8,350,77.5
 Ballard et al. 2002,603_05,427,0.073,25,0.038,0.44,0.9,0.39,5.7,2.11,26.3,11.2,61.2,16,185,43.5
 Ballard et al. 2002,603_06,705,0.013,38,0.038,0.68,1.94,0.8,11.9,4.2,48.6,19.4,99.7,24.7,277,65.1
 Ballard et al. 2002,603_07,853,0.038,47,0.045,0.87,2.13,0.81,12.8,4.58,55.7,22.8,120.1,30.4,345,81
 Ballard et al. 2002,603_08,1164,0.224,53,0.152,1.85,3.55,1.16,20.6,7.26,84.4,33.7,169.7,41.9,463,104.9
 Ballard et al. 2002,603_09,454,0.012,24,0.019,0.43,0.79,0.37,5.6,2.09,26.9,11.7,67.2,17.6,210,53.4
 Ballard et al. 2002,603_10,671,0.026,44,0.037,0.92,1.8,0.63,11.2,3.89,46,18.3,94.9,23,256,56.3
 Ballard et al. 2002,081_1,927,0.105,44,0.085,0.88,1.87,0.71,12.4,4.83,61.3,26.4,137.2,35.5,405,89.3
 Ballard et al. 2002,081_10,898,0.005,37,0.038,0.65,1.69,0.66,11,4.4,58.2,24.1,132.7,35.5,412,91.7
 Ballard et al. 2002,081_2,580,0.011,21,0.09,1.06,2.31,0.83,10.6,3.56,41.8,16.6,84.3,22,251,54.9
 Ballard et al. 2002,081_3,724,0.14,34,0.069,0.71,1.52,0.63,9.9,3.81,47.2,20.2,109.6,29.4,338,77.5
 Ballard et al. 2002,081_4,1236,0.004,48,0.049,1.15,2.56,1.24,19.5,7.61,93.7,37.2,179.6,46.6,480,96.8
 Ballard et al. 2002,081_5,920,0.02,43,0.043,1.01,1.96,0.79,13.7,5.36,66.2,26.6,136,34.9,385,83.3
 Ballard et al. 2002,081_6,615,0.002,38,0.027,0.71,1.6,0.69,9.4,3.58,42,17.2,86.4,22.4,254,52.2
 Ballard et al. 2002,081_7,806,0.007,36,0.003,0.62,1.47,0.63,10.3,4,52.5,22.2,121,32.3,371,84.3
 Ballard et al. 2002,081_8,636,0.062,30,0.057,0.58,1.2,0.41,8.2,3.09,41.1,17.8,95.6,26.4,301,70.1
 Ballard et al. 2002,081_9,1090,0.054,51,0.065,1.23,3.2,1.12,19,6.77,81,31.1,154.7,39.1,421,86.5
 Ballard et al. 2002,695_1,668,0.004,21,0.044,0.91,1.98,0.72,10.9,4.11,48.4,18.7,95.8,25.3,285,59.2
 Ballard et al. 2002,695_10,566,0.001,24,0.031,0.42,1,0.42,7.1,2.69,34.7,15.3,83.6,23.4,282,65.4
 Ballard et al. 2002,695_2,841,0.002,34,0.015,0.56,1.44,0.82,10.9,4.54,55.5,24.1,131.5,36.3,445,103.8
 Ballard et al. 2002,695_3,619,0.019,40,0.059,0.82,2.11,0.78,11.4,4,47,18.2,90,22.7,248,53
 Ballard et al. 2002,695_4,790,0.003,39,0.07,1.04,3.15,1.24,16.4,5.33,64.1,23.8,119.1,29.4,325,66.5
 Ballard et al. 2002,695_5,447,0.009,17,0.013,0.26,0.81,0.31,5.1,2.05,27.3,12.3,65.2,17.9,216,49
 Ballard et al. 2002,695_6,744,0.005,33,0.009,0.58,1.24,0.6,8.4,3.44,43.7,19.7,110.6,30.9,387,85.7
 Ballard et al. 2002,695_7,430,0.006,24,0.023,0.48,0.88,0.43,6,2.38,28.9,12.1,64.5,17.2,210,47.5
 Ballard et al. 2002,695_9,1797,0.019,68,0.087,1.77,4.42,1.52,27.5,10.52,126.2,51,259.8,67.8,772,162.7
 Ballard et al. 2002,626_1,1111,0.073,12,0.531,6.99,9.26,1.24,35.1,11.33,114,37.5,154.2,32.1,277,47.1
 Ballard et al. 2002,626_10,756,0.011,9,0.098,1.55,3.27,0.5,18.3,6.47,71.3,24.4,108.1,22.8,210,35.5
 Ballard et al. 2002,626_2,700,0.01,8,0.109,1.82,3.35,0.52,17.4,6.04,67.1,22.6,100.5,21.6,196,34
 Ballard et al. 2002,626_3,1138,0.061,13,0.514,7.09,9.65,1.07,37.3,11.66,117.9,38.3,157.3,32.4,280,47.2
 Ballard et al. 2002,626_4,779,0.02,9,0.24,3.48,5.06,0.73,22.7,7.21,76.2,25.6,108.6,23.4,207,35.7
 Ballard et al. 2002,626_5,448,0.007,8,0.051,0.83,1.75,0.27,9.7,3.54,40.9,14.6,65.3,14.9,137,24.8
 Ballard et al. 2002,626_6,725,0.013,9,0.137,2,3.76,0.52,18.8,6.29,69.5,23.4,102.9,21.9,199,34.7
 Ballard et al. 2002,626_7,693,0.015,9,0.172,2.82,4.31,0.53,19.2,6.2,69.2,22.9,99.7,21.2,191,33
 Ballard et al. 2002,626_8,394,0.002,8,0.039,0.7,1.56,0.23,8.2,2.96,34.2,12.5,58.2,12.9,123,21.9
 Ballard et al. 2002,626_9,564,0.056,8,0.075,0.99,2.04,0.34,12.4,4.5,51.7,17.9,81.5,17.9,166,28.8
 Ballard et al. 2002,067_1,483,0.001,18,0.015,0.38,0.96,0.31,5.8,2.41,31.2,13,76.2,22.1,266,60.9
 Ballard et al. 2002,067_10,995,0.001,15,0.093,2.27,5.17,1.15,26,9.11,95.6,33.2,143.2,31.6,292,51.2
 Ballard et al. 2002,067_3,757,0.014,29,0.054,1.33,2.29,0.97,13.3,5.1,64.2,25.4,133.7,33.2,386,75.4
 Ballard et al. 2002,067_4,296,0.024,7,0.053,0.63,1.16,0.14,5.6,2.06,24.2,9.1,43.5,10.4,107,21.9
 Ballard et al. 2002,067_5,312,0.009,14,0.008,0.47,1,0.32,5.3,1.99,23.9,9.4,48.8,12.5,140,29.7
 Ballard et al. 2002,067_6,333,0.005,13,0.025,0.67,1.45,0.39,7.2,2.73,30,10.7,51.3,12.2,120,23.6
 Ballard et al. 2002,067_8,745,0.005,13,0.114,1.87,3.66,0.93,16.8,6.21,67.5,24.5,113.9,26.5,264,48.6
 Ballard et al. 2002,067_9,326,0.006,13,0.028,0.48,0.99,0.39,5.7,2.07,23.8,9.7,50.9,13.8,162,35.3
 Ballard et al. 2002,698_1,252,0.005,11,0.014,0.43,0.97,0.3,4.6,1.69,19.5,7.6,38.1,10,114,24
 Ballard et al. 2002,698_10,609,0.006,22,0.073,1.33,2.58,0.66,12.4,4.37,50.1,18.9,90,21.9,219,42
 Ballard et al. 2002,698_2,446,0.007,12,0.014,0.6,1.35,0.46,8.4,3.1,36.9,13.9,67.7,17,179,35.9
 Ballard et al. 2002,698_3,407,0.009,12,0.039,0.5,1.49,0.33,7.8,2.91,33.3,12.5,59.9,14.8,151,29.8
 Ballard et al. 2002,698_5,562,0.009,28,0.05,0.95,1.73,0.49,8.9,3.47,42.2,16.9,85.2,23.7,261,55
 Ballard et al. 2002,698_6,374,0.002,10,0.068,1.33,2.06,0.68,9,2.81,32,11.7,56.9,14.2,149,31.5
 Ballard et al. 2002,698_7,259,0.005,9,0.041,0.51,0.66,0.3,4.6,1.61,20.7,8,40.5,11.2,121,24.9
 Ballard et al. 2002,698_8,558,0.004,12,0.104,1.92,3.5,1.16,14.1,4.24,48.2,16.5,78,19.5,200,39.7
 Ballard et al. 2002,698_9,252,0.004,12,0.023,0.34,0.96,0.37,4.6,1.69,20.7,7.9,38.8,9.9,109,22.8
 Ballard et al. 2002,679_1,487,0.029,18,0.037,0.64,1.21,0.66,8.5,3.07,37.2,15,79.4,20.1,224,48.4
 Ballard et al. 2002,679_4,233,0.137,11,0.054,0.43,0.39,0.21,2.9,1.12,12.9,5.6,31.6,9.2,118,31.3
 Ballard et al. 2002,679_5,746,0.006,33,0.041,1.05,2.33,0.81,13.3,5.09,61.1,23.4,118.4,29.5,310,61.7
 Ballard et al. 2002,679_6,172,0.007,9,0.013,0.12,0.5,0.14,2.9,1.07,13.4,5.2,28.7,7.4,87,18.2
 Ballard et al. 2002,679_7,461,0.098,12,0.097,1.15,2.23,0.64,9.9,3.37,38.8,14.1,70.8,17.7,194,38.6
 Ballard et al. 2002,679_9,328,0.029,13,0.022,0.44,0.88,0.34,5.3,2.13,25.1,10,51.8,13.1,147,29.7
 Buret et al. 2016,YB37_z08_r,728.4053363,0.110191571,20.48382492,0.035506141,0.662659132,1.372847613,0.662978202,9.04321213,3.797554806,50.40949672,21.70029785,120.5630927,29.10300289,320.0873153,71.76835426
 Buret et al. 2016,YB37_z12_c,1137.602221,0.081761036,28.86762873,0.05909958,1.007714924,2.179556383,1.099067582,15.34397667,6.013449331,80.5793339,34.0826813,187.7081842,46.27574737,492.9198862,108.8145615
 Buret et al. 2016,YB37_z19_r,546.0711774,0.127796491,20.42023743,0.038735062,0.448603653,1.122997128,0.553025956,7.584475343,2.832719283,38.52998141,15.84432686,88.5993904,22.43418515,247.60843,53.35904997
 Buret et al. 2016,YB37_z29_c,940.0183003,0.043935499,22.70803942,0.048877946,0.646639159,1.817751212,0.911681211,12.7764579,5.013630462,67.17863794,28.73451328,157.4858345,38.10622175,402.5060753,90.12677587
 Buret et al. 2016,YB37_z37_c,1330.232581,0.059000342,27.02051003,0.107224239,1.849666192,4.232440656,1.745986724,24.31888585,8.747542802,108.2603679,42.94840831,218.0503384,49.52878364,503.0617128,105.8805774
 Buret et al. 2016,YB37_z07_c,1285.895054,0.123364245,31.16752578,0.110549088,1.847168461,3.822005299,1.709778623,22.20063161,7.992405443,101.8826855,40.79814129,213.9524167,48.99381809,499.9577513,104.6618454
 Buret et al. 2016,YB37_z08_c,1090.398962,0.076275197,25.05210285,0.045201414,0.794933753,2.118382033,1.039648964,14.62215326,5.686650244,77.62267891,33.77768718,187.8424808,44.45891345,476.6560659,102.3124149
 Buret et al. 2016,YB37_z11_c,1123.656282,0.206424821,26.86242305,0.050900212,0.794721762,2.077517375,0.996514109,14.32948079,5.731638184,79.06541031,34.62088499,191.3772735,45.56115369,480.0887425,103.8807645
 Buret et al. 2016,YB37_z28_r,509.8884861,0.239783397,18.65988988,0.043320091,0.506773515,0.973890406,0.487263402,6.578116103,2.436538506,34.01150123,14.75219369,83.56392708,20.75060569,232.9914768,54.13024091
 Buret et al. 2016,YB37_z32_c,714.8357803,0.068047354,21.50334523,0.044066374,0.706953274,1.587077898,0.752369155,10.14813439,3.795571052,51.08927681,21.56423328,119.3790784,28.50051258,311.225087,68.44498373
 Buret et al. 2016,YB37_z47_c,1257.283957,0.220016616,21.93418265,0.08343439,0.791757884,2.339695111,1.037718964,16.05380327,7.033723341,95.37040144,39.63177383,211.4432502,47.76499183,491.4351802,97.93316272
 Buret et al. 2016,YB37_z61_c,1159.212529,0.114172243,19.18617991,0.074349743,1.239119304,2.988740673,1.185056734,17.57476614,6.585266786,84.69333715,35.31556341,187.3725278,44.49530851,469.979716,104.0765836
 Buret et al. 2016,YB37_z71_c,1445.231929,0.101500713,35.17432656,0.075102018,1.334619033,2.835394383,1.250960931,19.84792444,7.624543355,103.0442652,43.43631164,233.3885312,55.31743751,571.8110795,125.5413108
 Buret et al. 2016,YB38_z17_r,825.7437401,0.076337574,25.65112422,0.039760929,0.687423341,1.747576885,0.708533574,10.48557535,3.703496224,50.16970503,22.18872843,137.0619561,31.3677502,295.6274093,71.18777752
 Buret et al. 2016,YB38_z01_c,779.1080574,0.080741712,19.16484444,0.042645754,0.526305109,1.496244435,0.720142309,10.44359441,4.039606491,55.4159069,23.92721523,129.8082262,32.11335939,349.1169744,73.89391854
 Buret et al. 2016,YB38_z27_r,878.779852,0.074037501,30.38896869,0.05752952,0.937011069,1.877858046,0.836362641,11.30959431,4.58195919,60.86827357,26.34246301,140.9045456,34.5776391,370.3055838,79.54881893
 Buret et al. 2016,YB38_z36_r,756.316506,0.043382684,17.23304899,0.027099842,0.489144173,1.356141016,0.670288575,9.461711788,3.710414796,52.99686877,22.83710449,128.4778871,32.65796392,363.8139033,79.38002009
 Buret et al. 2016,YB38_z38_c,2140.5871,0.122955469,41.64459783,0.289497942,5.183793371,9.621442739,4.414052819,46.73251663,15.10384821,177.4661926,66.8202271,334.6251661,72.97671436,685.1661484,140.1913747
 Buret et al. 2016,YB38_z38_r,579.948441,0.092331959,21.07208221,0.038691675,0.591234903,1.219134448,0.55426704,7.722513404,2.980377728,40.73112506,17.31644508,93.46823068,23.758803,258.9545504,56.46903853
 Buret et al. 2016,YB38_z40_c,1052.794015,0.106865661,30.45553498,0.081456057,0.982390259,2.259409966,1.051236751,15.9848692,6.043966533,79.67208105,33.40111455,170.8684896,40.37590877,413.6233186,87.30394702
 Buret et al. 2016,YB38_z43_r,792.3105073,0.084735418,24.6440387,0.039020268,0.685315458,1.513005649,0.707594183,10.53205569,3.986471777,54.06204371,23.64132677,127.5749899,32.23694222,348.0882476,77.78025935
 Buret et al. 2016,YB39_z05_c,1064.436384,0.034156881,25.20956192,0.036451497,0.728673087,2.103390004,1.040987407,14.46136294,5.525422439,75.71763247,32.53313238,175.7083828,43.02960089,468.8880164,103.4598325
 Buret et al. 2016,YB39_z18_c,550.3496755,0.044937334,21.92257139,0.029427217,0.461117895,1.120303512,0.523613875,7.035778207,2.646518775,37.29531935,16.08357853,89.95818188,23.35960313,269.1370434,60.91723607
 Buret et al. 2016,YB39_z18_d.z.,1023.886324,0.08305028,30.1918326,0.077276347,0.567482119,1.460787916,0.807390759,11.57347901,4.475617634,64.80970559,28.91589349,168.7762357,45.06746074,531.7383361,127.0810205
 Buret et al. 2016,YB39_z24_c,662.4665229,0.060233181,21.66619766,0.019876841,0.67104552,1.389894782,0.637817357,8.966523394,3.441584155,47.41729465,20.09198072,105.8052407,26.7357823,289.0643407,60.33914186
 Buret et al. 2016,YB39_z30_c,695.0216683,0.084226255,23.5224575,0.037808968,0.502842045,1.443526281,0.660205184,9.802678958,3.758423983,50.39732422,21.52212464,112.1640127,27.7113576,296.1103382,64.16115127
 Buret et al. 2016,YB39_z32_c,979.7358606,0.153807312,19.91460653,0.086723724,0.928804499,2.258700827,1.018533833,14.01611534,5.250446134,73.15279231,30.12881666,159.4858449,39.1774456,419.6643254,88.43978194
 Buret et al. 2016,YB39_z45_r,584.3121378,0.097286629,22.0470989,0.055681847,0.616982031,1.202414278,0.546372885,7.785131722,2.924474352,39.96462459,17.00567074,93.49993758,23.67487027,263.7810281,57.94604389
 Buret et al. 2016,YB39_z49_c,773.9599497,0.034352174,20.86822357,0.035773376,0.547579343,1.407143141,0.666375157,9.651065034,3.590261763,52.50469179,23.18834244,127.6669993,32.57974522,372.6285564,82.86554597
 Buret et al. 2016,YB40_z05_c,832.9883723,0.071492282,20.58982639,0.109116535,0.881071355,2.025135095,0.855372415,12.729142,4.661531503,63.60634129,26.1395382,137.5224802,34.23174524,370.8073231,77.45451435
 Buret et al. 2016,YB40_z05_d.z.,857.1014519,0.301252031,23.7950351,0.221623788,0.628336661,1.650009269,0.811004692,11.21114133,4.286828568,63.06521985,26.8817212,146.07319,37.66981006,421.7033322,89.10185112
 Buret et al. 2016,YB40_z06_c,909.224262,0.144579373,26.56220196,0.054649418,0.636605537,1.888905938,0.898799662,13.0418299,5.147277566,65.95087276,27.94914761,149.1835621,36.14391331,379.6721104,80.51026781
 Buret et al. 2016,YB40_z09_r,817.7528256,0.0258361,20.52720332,0.022149481,0.488591908,1.4285307,0.706244088,10.22286018,4.027447131,56.17974913,24.7817637,134.7193913,34.2313256,380.4449805,82.60488514
 Buret et al. 2016,YB40_z10_c,988.6693446,0.082805735,27.33525304,0.043946307,0.908208364,2.409309676,1.094010054,15.08529534,5.625702844,74.58486906,31.08097634,162.022926,40.15124869,429.1516693,89.04221433
 Buret et al. 2016,YB40_z17_d.z.,1001.899079,0.121981386,14.57712555,0.023192811,0.316873969,0.99945469,0.610198432,8.615085912,3.621297437,56.68427384,27.92190923,172.0196149,48.38188877,606.0676518,150.7543406
 Buret et al. 2016,YB40_z17_r,806.2845734,0.085496926,22.10133939,0.048209434,0.615626199,1.571644188,0.720930982,10.06303864,4.091875705,55.80295962,24.35045152,132.5270578,33.03956784,364.9165219,78.9507036
 Buret et al. 2016,YB40_z22_c,1171.365612,0.081776877,19.8970811,0.050423472,0.953109319,2.435553626,1.173905916,16.13449694,6.254082169,84.17115929,35.74814726,191.2793911,47.76046089,522.1236009,110.6645166
 Buret et al. 2016,YB40_z22_d.z.,1682.9396,0.190379206,38.47003296,0.104611202,1.412770478,3.79133968,1.658287186,26.81476729,9.865383406,130.9864587,54.13279982,277.000902,66.24212441,696.7991544,147.1034944
 Buret et al. 2016,YB40_z23_d.z.,1026.090737,0.092733602,35.03044088,0.044047632,0.8428136,2.139507846,1.082822302,15.18455432,5.738865799,77.08873046,31.60173213,165.0437844,40.95029393,435.1498856,89.73298547
 Buret et al. 2016,YB40_z29_r,793.0835519,0.254681392,20.80971014,0.057758869,0.649708867,1.529647415,0.685113856,10.07029472,3.956290835,54.68125506,23.93770949,131.3259962,33.22289439,363.4988105,80.51289757
 Buret et al. 2016,YB40_z30_c,1308.799568,0.168284029,35.72685001,0.083870403,1.498255741,3.274604818,1.475457177,21.2014682,7.874581818,100.9992026,41.38672818,213.0703699,50.67239268,519.7762459,108.134403
 Buret et al. 2016,YB40_z05_d.z.,724.5775275,0.091611918,30.51450362,0.037283642,0.624316607,1.379871163,0.683832805,9.221689778,3.560078117,49.07315208,21.05745669,118.290481,30.12890273,337.7418624,76.64439476
 Buret et al. 2016,YB40_z06_c,1166.346967,0.069957593,28.59831232,0.041075986,0.878834799,2.275678353,1.063062305,15.48086245,5.992858743,81.72436205,35.24425852,189.3575588,46.23827859,491.8941827,105.4509444
 Buret et al. 2016,YB40_z09_r,472.6858721,0.160439776,18.9668289,0.032370164,0.387563659,0.933851317,0.428580052,5.967030144,2.293483389,31.98061577,13.96951082,77.59916927,19.72754796,222.9879129,50.3651615
 Buret et al. 2016,YB40_z10_r,585.5176263,0.139507282,22.5627408,0.058090326,0.699868202,1.287447642,0.591224485,8.537157646,3.089791846,41.4432589,17.70954371,94.43161733,23.39503789,256.2778371,56.64556932
 Buret et al. 2016,YB40_z16_c,730.3101063,0.078869257,18.98272695,0.050383617,0.732626793,1.473228792,0.738031226,10.28458399,3.838251307,52.97534531,22.43198594,120.7450107,30.66248984,339.6392661,70.88464899
 Buret et al. 2016,YB40_z16_d.z.,1295.781755,0.082440842,37.31441632,0.033664427,0.74039596,2.281555087,1.358881675,18.25849777,6.698269535,89.47245986,38.26573336,206.8681326,52.45597717,593.891976,132.9493957
 Buret et al. 2016,YB40_z34_r,741.8888369,0.131622444,17.87946778,0.042325188,0.534569273,1.216480807,0.603733028,8.6632955,3.430243966,49.42833925,22.34102112,124.2266088,32.45206149,368.5911247,78.6883912
 Buret et al. 2016,YB40_z51_c,1021.389508,0.286410123,27.10555113,0.099062268,0.704996875,1.362641822,0.971299489,15.4960792,5.11875226,70.92837092,31.45686243,171.1918103,41.89243484,442.7525798,98.9974944
 Buret et al. 2016,YB39-z01,831,1.2,23.6,0.31,1.6,1.7,0.8,9.8,4.3,56.9,24.5,133,33.7,356,85
 Buret et al. 2016,YB39-z02,713,0.4,21.2,0.17,1.7,2.6,1.2,13.2,5.4,63.9,26.5,142,35.1,365,87
 Buret et al. 2016,YB39-z03,821,2.02,27.1,0.44,2.6,1.9,0.8,9.7,4.2,58.2,25.7,143,36.5,387,93
 Buret et al. 2016,YB39-z04,732,1.54,21.7,0.38,2,1.8,0.8,9.3,3.9,50.5,21.8,119,30.1,323,78
